country	Mean Reading	Mean math
Shanghai-China	570	613
Singapore	542	573
Hong Kong-China	545	561
Chinese Taipei	523	560
Korea	536	554
Macao-China	509	538
Japan	538	536
Liechtenstein	516	535
Switzerland	509	531
Netherlands	511	523
Estonia	516	521
Finland	524	519
Canada	523	518
Poland	518	518
Belgium	509	515
Germany	508	514
Viet Nam	508	511
Austria	490	506
Australia	512	504
Ireland	523	501
Slovenia	481	501
Denmark	496	500
New Zealand	512	500
Czech Republic	493	499
France	505	495
United Kingdom	499	494
Iceland	483	493
Latvia	489	491
Luxembourg	488	490
Norway	504	489
Portugal	488	487
Italy	490	485
Spain	488	484
Russian Federation	475	482
Slovak Republic	463	482
United States	498	481
Lithuania	477	479
Sweden	483	478
Hungary	488	477
Croatia	485	471
Israel	486	466
Greece	477	453
Serbia	446	449
Turkey	475	448
Romania	438	445
Cyprus1,2	449	440
Bulgaria	436	439
United Arab Emirates	442	434
Kazakhstan	393	432
Thailand	441	427
Chile	441	423
Malaysia	398	421
Mexico	424	413
Montenegro	422	410
Uruguay	411	409
Costa Rica	441	407
Albania	394	394
Brazil	410	391
Argentina	396	388
Tunisia	404	388
Jordan	399	386
Colombia	403	376
Qatar	388	376
Indonesia	396	375
Peru	384	368
