country,date,Reading,Math
Singapore,2015-01-01,535,564
Japan,2015-01-01,516,532
Estonia,2015-01-01,519,520
Finland,2015-01-01,526,511
"Macao SAR, China",2015-01-01,509,544
Canada,2015-01-01,527,516
Vietnam,2015-01-01,487,495
"Hong Kong SAR, China",2015-01-01,527,548
China,2015-01-01,494,531
"Korea, Rep.",2015-01-01,517,524
New Zealand,2015-01-01,509,495
Slovenia,2015-01-01,505,510
Australia,2015-01-01,503,494
United Kingdom,2015-01-01,498,492
Germany,2015-01-01,509,506
Netherlands,2015-01-01,503,512
Switzerland,2015-01-01,492,521
Ireland,2015-01-01,521,504
Belgium,2015-01-01,499,507
Denmark,2015-01-01,500,511
Poland,2015-01-01,506,504
Portugal,2015-01-01,498,492
Norway,2015-01-01,513,502
United States,2015-01-01,497,470
Austria,2015-01-01,485,497
France,2015-01-01,499,493
Sweden,2015-01-01,500,494
Czech Republic,2015-01-01,487,492
Spain,2015-01-01,496,486
Latvia,2015-01-01,488,482
Russian Federation,2015-01-01,495,494
Luxembourg,2015-01-01,481,486
Italy,2015-01-01,485,490
Hungary,2015-01-01,470,477
Lithuania,2015-01-01,472,478
Croatia,2015-01-01,487,464
Argentina,2015-01-01,475,456
Iceland,2015-01-01,482,488
Israel,2015-01-01,479,470
Malta,2015-01-01,447,479
Slovak Republic,2015-01-01,453,475
Greece,2015-01-01,467,454
Chile,2015-01-01,459,423
Bulgaria,2015-01-01,432,441
United Arab Emirates,2015-01-01,434,427
Uruguay,2015-01-01,437,418
Romania,2015-01-01,434,444
Cyprus,2015-01-01,443,437
Moldova,2015-01-01,416,420
Albania,2015-01-01,405,413
Turkey,2015-01-01,428,420
Trinidad and Tobago,2015-01-01,427,417
Thailand,2015-01-01,409,415
Costa Rica,2015-01-01,427,400
Qatar,2015-01-01,402,402
Colombia,2015-01-01,425,390
Mexico,2015-01-01,423,408
Montenegro,2015-01-01,427,418
Georgia,2015-01-01,401,404
Jordan,2015-01-01,408,380
Indonesia,2015-01-01,397,386
Brazil,2015-01-01,407,377
Peru,2015-01-01,398,387
Lebanon,2015-01-01,347,396
Tunisia,2015-01-01,361,367
"Macedonia, FYR",2015-01-01,352,371
Kosovo,2015-01-01,347,362
Algeria,2015-01-01,350,360
Dominican Republic,2015-01-01,358,328
